0:	1.094263188861E-05
1:	1.928613528435E-05
2:	2.676512485777E-05
3:	3.503080733935E-05
4:	4.408978202264E-05
5:	5.203456748859E-05
6:	5.953198706266E-05
7:	6.627957918681E-05
8:	7.232838106574E-05
9:	7.900064520072E-05
10:	8.506645826856E-05
11:	9.186269744532E-05
12:	9.926744678523E-05
13:	1.047341938829E-04
14:	1.091474186978E-04
15:	1.144309062511E-04
16:	1.203998035635E-04
17:	1.270949433092E-04
18:	1.334114931524E-04
19:	1.388143136865E-04
20:	1.437412138330E-04
21:	1.493036397733E-04
22:	1.561932876939E-04
23:	1.638623507461E-04
24:	1.707932824502E-04
25:	1.766267378116E-04
26:	1.817812153604E-04
27:	1.873877918115E-04
28:	1.940112415468E-04
29:	2.010584576055E-04
30:	2.077328826999E-04
31:	2.136301627615E-04
32:	2.191643579863E-04
33:	2.250199904665E-04
34:	2.314726007171E-04
35:	2.382293314440E-04
36:	2.447698207106E-04
37:	2.508086326998E-04
38:	2.565554750618E-04
39:	2.625008928590E-04
40:	2.688972454052E-04
41:	2.755366731435E-04
42:	2.820149820764E-04
43:	2.881207910832E-04
44:	2.941338461824E-04
45:	3.004822647199E-04
46:	3.070778911933E-04
47:	3.138305619359E-04
48:	3.205206012353E-04
49:	3.270198358223E-04
50:	3.334137145430E-04
51:	3.398923436180E-04
52:	3.465682093520E-04
53:	3.533681447152E-04
54:	3.601096395869E-04
55:	3.667130076792E-04
56:	3.732523473445E-04
57:	3.798597899731E-04
58:	3.865991893690E-04
59:	3.934197884519E-04
60:	4.002201603726E-04
61:	4.069386632182E-04
62:	4.136085044593E-04
63:	4.203274147585E-04
64:	4.271546786185E-04
65:	4.340552259237E-04
66:	4.409475659486E-04
67:	4.477941547520E-04
68:	4.546307609417E-04
69:	4.615203069989E-04
70:	4.684888117481E-04
71:	4.755179688800E-04
72:	4.826030926779E-04
73:	4.896722384728E-04
74:	4.967378336005E-04
75:	5.038473755121E-04
76:	5.110274651088E-04
77:	5.182620370761E-04
78:	5.255080759525E-04
79:	5.327478284016E-04
80:	5.399977089837E-04
81:	5.472863558680E-04
82:	5.546262837015E-04
83:	5.620082956739E-04
84:	5.694092833437E-04
85:	5.768171977252E-04
86:	5.842350074090E-04
87:	5.916843074374E-04
88:	5.991778452881E-04
89:	6.067102076486E-04
90:	6.142603815533E-04
91:	6.218181224540E-04
92:	6.293936166912E-04
93:	6.370001938194E-04
94:	6.446393090300E-04
95:	6.523115443997E-04
96:	6.600036867894E-04
97:	6.677129422314E-04
98:	6.754370988347E-04
99:	6.831879727542E-04
